type,path,duplicate_of,action,reason,risk,status
workflow,.github/workflows/ci-preview.yml,.github/workflows/ci.yml,disable,"重複跑測試，與CI統一流程重疊","停用後需確認仍有替代的預覽佈署與通知機制","planned"
workflow,.github/workflows/predeploy.yml,.github/workflows/ci.yml,remove-tests,"部署前工作流內含lint/test/e2e，與CI重疊","調整時須確保部署前仍有必要的 smoke 檢查","planned"
workflow,.github/workflows/npm-outdated.yml,,keep,"僅保留套件盤點，移除任何測試步驟","維持盤點頻率即可，留意報告仍能產出","planned"
config,jest.config.js,jest.config.cjs,delete,"兩份Jest設定意義重複","移除需同步調整 npm scripts 與文件引用","done"
config,tsconfig.test.json,tsconfig.json,extend-only,"測試設定延伸根檔並僅覆寫 Jest 型別，移除重複 include","調整後須驗證 typecheck 仍涵蓋 Playwright 與腳本","done"
config,tsconfig.jest.json,tsconfig.json,retired,"舊檔案已移除，統一由 tsconfig.test.json 承接測試差異","無","done"
config,eslint.config.js,,keep,"單一ESLint來源，無需另一份規則檔","維持 flat config；後續異動注意與 Jest/Playwright 規則一致","planned"
config,prettier.config.cjs,,keep,"唯一Prettier設定","持續作為格式化來源","planned"
config,knip.json,,keep,"靜態分析忽略清單保留；避免與depcheck重疊規則","後續若併入其他工具需再評估","planned"
config,depcheck.config.cjs,,keep,"依賴掃描設定保留；規則不與knip重疊","持續支援 depcheck 報告","planned"
script,playwright/utils/openPage.ts,scripts/url-helper.mjs,refactor,"URL組裝邏輯集中到url-helper，移除重複實作","重構需確保 Playwright 測試無破壞","planned"
script,scripts/run-pa11y.mjs,scripts/health-check.mjs,split,"a11y與HTTP健康檢查責任分離","分拆後需維持兩套腳本的互補性","planned"
script,scripts/health-check.mjs,,keep,"只檢查200/3xx與產出artifacts，不做a11y","保留可供 CI 健康檢查重用","planned"
script,scripts/auto-repair.mjs,.github/workflows/*,keep,"統一以腳本內重試，移除workflow內自寫retry片段","確保各 workflow 都調用同一實作","planned"
docs,README.md,AGENTS.md,keep,"兩者職責不同；將HEADING_SCHEMA唯一來源設在README","維持兩份文件的職責邊界","planned"
docs,AGENTS.md,README.md,edit,"移除/連結重複之HEADING_SCHEMA細節，避免雙本","更新需確保 AGENTS.md 仍指向最新規範","planned"
docs,docs/upgrade-report.md,reports/round-*/summary.md,keep-both,"reports為原始紀錄；docs為最終報告，避免重複敘述","維持最終報告與歷程紀錄的鏈結","planned"
artifact,outdated.json,,delete,"僅示例用途，改以npm-outdated工作流動態產出","刪除前確認無腳本硬依賴此檔","planned"
secrets,clasprc_base64.txt,,keep,"作為範例與手動復原依據，標記為非執行依賴","需標註僅示範用途以免誤用","planned"
data,桃園市_長照給付資料庫_v1.xlsx,src/DataStore.gs,keep-as-reference,"SSOT在DataStore；Excel標記為參考並自CI忽略","保留時須確保未被CI掃描上傳","planned"
tests,playwright/ui.spec.ts,tests/a11y/sidebar-a11y.test.ts,scope-split,"Playwright測互動/RWD；Jest-axe測語義/無障礙，避免同題雙測","維持雙測並清楚文件化測試責任","planned"
